dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1483228800,2017-01-01 00:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,20.99,10000,11.89,20.61,20.96,23.17,1016,,,56,6.7,210,,,,,,0,800,Clear,sky is clear,01n
1483232400,2017-01-01 01:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,19.8,10000,11.57,19.38,17.01,23.98,1016,,,59,3.6,200,,,,,,0,800,Clear,sky is clear,01n
1483236000,2017-01-01 02:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,16.93,10000,9.85,16.32,15.21,18.01,1016,,,63,4.63,150,,,,,,0,800,Clear,sky is clear,01n
1483239600,2017-01-01 03:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,17.34,10000,10.24,16.77,14.46,21.88,1016,,,63,3.6,160,,,,,,0,800,Clear,sky is clear,01n
1483243200,2017-01-01 04:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,16.59,10000,10.44,16.05,13.88,21.28,1017,,,67,3.6,160,,,,,,0,800,Clear,sky is clear,01n
1483246800,2017-01-01 05:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,15.6,10000,10.58,15.1,12.5,19.88,1016,,,72,2.1,160,,,,,,0,800,Clear,sky is clear,01n
1483250400,2017-01-01 06:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,15.9,10000,10.86,15.43,12.5,19.55,1016,,,72,1.54,150,,,,,,0,800,Clear,sky is clear,01n
1483254000,2017-01-01 07:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,15.32,10000,11.12,14.89,11.93,18.83,1016,,,76,0.51,0,,,,,,0,800,Clear,sky is clear,01n
1483257600,2017-01-01 08:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,14.34,5000,11.31,13.97,11.27,17.77,1016,,,82,0.51,0,,,,,,0,711,Smoke,smoke,50n
1483261200,2017-01-01 09:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,14.42,5000,10.25,13.9,11.39,17.84,1016,,,76,1.54,330,,,,,,0,711,Smoke,smoke,50n
1483264800,2017-01-01 10:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,15.76,5000,12.7,15.53,12.71,19.92,1016,,,82,0,0,,,,,,0,711,Smoke,smoke,50d
1483268400,2017-01-01 11:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,14.99,5000,10.8,14.53,14.96,15.17,1017,,,76,1.03,0,,,,,,0,711,Smoke,smoke,50d
1483272000,2017-01-01 12:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,17.99,5000,11.78,17.59,17.96,18.17,1017,,,67,1.03,0,,,,,,0,711,Smoke,smoke,50d
